,text,sentiment,text_lower,text_no_punct,text_no_digits,text_no_urls,tokens,tokens_no_stopwords,lemmatized_tokens,cleaned_text
138,Exceeded my expectations.,positive,exceeded my expectations.,exceeded my expectations,exceeded my expectations,exceeded my expectations,"['exceeded', 'my', 'expectations']","['exceeded', 'expectations']","['exceeded', 'expectation']",exceeded expectation
139,Moderate satisfaction.,neutral,moderate satisfaction.,moderate satisfaction,moderate satisfaction,moderate satisfaction,"['moderate', 'satisfaction']","['moderate', 'satisfaction']","['moderate', 'satisfaction']",moderate satisfaction
140,Fantastic product and great service.,positive,fantastic product and great service.,fantastic product and great service,fantastic product and great service,fantastic product and great service,"['fantastic', 'product', 'and', 'great', 'service']","['fantastic', 'product', 'great', 'service']","['fantastic', 'product', 'great', 'service']",fantastic product great service
141,"It's okay, nothing special.",neutral,"it's okay, nothing special.",its okay nothing special,its okay nothing special,its okay nothing special,"['its', 'okay', 'nothing', 'special']","['okay', 'nothing', 'special']","['okay', 'nothing', 'special']",okay nothing special
142,Extremely unhappy with the product.,negative,extremely unhappy with the product.,extremely unhappy with the product,extremely unhappy with the product,extremely unhappy with the product,"['extremely', 'unhappy', 'with', 'the', 'product']","['extremely', 'unhappy', 'product']","['extremely', 'unhappy', 'product']",extremely unhappy product
143,Moderate satisfaction.,neutral,moderate satisfaction.,moderate satisfaction,moderate satisfaction,moderate satisfaction,"['moderate', 'satisfaction']","['moderate', 'satisfaction']","['moderate', 'satisfaction']",moderate satisfaction
144,"Meets expectations, nothing more.",neutral,"meets expectations, nothing more.",meets expectations nothing more,meets expectations nothing more,meets expectations nothing more,"['meets', 'expectations', 'nothing', 'more']","['meets', 'expectations', 'nothing']","['meet', 'expectation', 'nothing']",meet expectation nothing
145,Just fine for the price.,neutral,just fine for the price.,just fine for the price,just fine for the price,just fine for the price,"['just', 'fine', 'for', 'the', 'price']","['fine', 'price']","['fine', 'price']",fine price
146,Will never buy again.,negative,will never buy again.,will never buy again,will never buy again,will never buy again,"['will', 'never', 'buy', 'again']","['never', 'buy']","['never', 'buy']",never buy
147,Acceptable quality.,neutral,acceptable quality.,acceptable quality,acceptable quality,acceptable quality,"['acceptable', 'quality']","['acceptable', 'quality']","['acceptable', 'quality']",acceptable quality
148,Decent but not outstanding.,neutral,decent but not outstanding.,decent but not outstanding,decent but not outstanding,decent but not outstanding,"['decent', 'but', 'not', 'outstanding']","['decent', 'outstanding']","['decent', 'outstanding']",decent outstanding
149,"Superb quality, would buy again!",positive,"superb quality, would buy again!",superb quality would buy again,superb quality would buy again,superb quality would buy again,"['superb', 'quality', 'would', 'buy', 'again']","['superb', 'quality', 'would', 'buy']","['superb', 'quality', 'would', 'buy']",superb quality would buy
150,Good value,positive,good value,good value,good value,good value,"['good', 'value']","['good', 'value']","['good', 'value']",good value
151,Not good but not worst,negative,not good but not worst,not good but not worst,not good but not worst,not good but not worst,"['not', 'good', 'but', 'not', 'worst']","['good', 'worst']","['good', 'worst']",good worst
152,Poor quality but acceptable,negative,poor quality but acceptable,poor quality but acceptable,poor quality but acceptable,poor quality but acceptable,"['poor', 'quality', 'but', 'acceptable']","['poor', 'quality', 'acceptable']","['poor', 'quality', 'acceptable']",poor quality acceptable
153,Satisfactory performance,neutral,satisfactory performance,satisfactory performance,satisfactory performance,satisfactory performance,"['satisfactory', 'performance']","['satisfactory', 'performance']","['satisfactory', 'performance']",satisfactory performance
154,"Low quality, low price",negative,"low quality, low price",low quality low price,low quality low price,low quality low price,"['low', 'quality', 'low', 'price']","['low', 'quality', 'low', 'price']","['low', 'quality', 'low', 'price']",low quality low price
155,Acceptable even if not perfect,neutral,acceptable even if not perfect,acceptable even if not perfect,acceptable even if not perfect,acceptable even if not perfect,"['acceptable', 'even', 'if', 'not', 'perfect']","['acceptable', 'even', 'perfect']","['acceptable', 'even', 'perfect']",acceptable even perfect
156,Broken but refunded fast,negative,broken but refunded fast,broken but refunded fast,broken but refunded fast,broken but refunded fast,"['broken', 'but', 'refunded', 'fast']","['broken', 'refunded', 'fast']","['broken', 'refunded', 'fast']",broken refunded fast
157,"Low quality, low price",negative,"low quality, low price",low quality low price,low quality low price,low quality low price,"['low', 'quality', 'low', 'price']","['low', 'quality', 'low', 'price']","['low', 'quality', 'low', 'price']",low quality low price
158,"Low quality, low price",negative,"low quality, low price",low quality low price,low quality low price,low quality low price,"['low', 'quality', 'low', 'price']","['low', 'quality', 'low', 'price']","['low', 'quality', 'low', 'price']",low quality low price
159,Wouldn't buy again but not worst,negative,wouldn't buy again but not worst,wouldnt buy again but not worst,wouldnt buy again but not worst,wouldnt buy again but not worst,"['wouldnt', 'buy', 'again', 'but', 'not', 'worst']","['wouldnt', 'buy', 'worst']","['wouldnt', 'buy', 'worst']",wouldnt buy worst
160,Happy with product though packaging was messy,positive,happy with product though packaging was messy,happy with product though packaging was messy,happy with product though packaging was messy,happy with product though packaging was messy,"['happy', 'with', 'product', 'though', 'packaging', 'was', 'messy']","['happy', 'product', 'though', 'packaging', 'messy']","['happy', 'product', 'though', 'packaging', 'messy']",happy product though packaging messy
161,Almost perfect,positive,almost perfect,almost perfect,almost perfect,almost perfect,"['almost', 'perfect']","['almost', 'perfect']","['almost', 'perfect']",almost perfect
162,Hated the delivery but liked the box,negative,hated the delivery but liked the box,hated the delivery but liked the box,hated the delivery but liked the box,hated the delivery but liked the box,"['hated', 'the', 'delivery', 'but', 'liked', 'the', 'box']","['hated', 'delivery', 'liked', 'box']","['hated', 'delivery', 'liked', 'box']",hated delivery liked box
163,Pretty nice overall,positive,pretty nice overall,pretty nice overall,pretty nice overall,pretty nice overall,"['pretty', 'nice', 'overall']","['pretty', 'nice', 'overall']","['pretty', 'nice', 'overall']",pretty nice overall
164,Loved it although pricey,positive,loved it although pricey,loved it although pricey,loved it although pricey,loved it although pricey,"['loved', 'it', 'although', 'pricey']","['loved', 'although', 'pricey']","['loved', 'although', 'pricey']",loved although pricey
165,Happy with product though packaging was messy,positive,happy with product though packaging was messy,happy with product though packaging was messy,happy with product though packaging was messy,happy with product though packaging was messy,"['happy', 'with', 'product', 'though', 'packaging', 'was', 'messy']","['happy', 'product', 'though', 'packaging', 'messy']","['happy', 'product', 'though', 'packaging', 'messy']",happy product though packaging messy
166,Satisfactory performance,neutral,satisfactory performance,satisfactory performance,satisfactory performance,satisfactory performance,"['satisfactory', 'performance']","['satisfactory', 'performance']","['satisfactory', 'performance']",satisfactory performance
167,Satisfactory performance,neutral,satisfactory performance,satisfactory performance,satisfactory performance,satisfactory performance,"['satisfactory', 'performance']","['satisfactory', 'performance']","['satisfactory', 'performance']",satisfactory performance
168,Met basic expectations,neutral,met basic expectations,met basic expectations,met basic expectations,met basic expectations,"['met', 'basic', 'expectations']","['met', 'basic', 'expectations']","['met', 'basic', 'expectation']",met basic expectation
169,Wouldn't buy again but not worst,negative,wouldn't buy again but not worst,wouldnt buy again but not worst,wouldnt buy again but not worst,wouldnt buy again but not worst,"['wouldnt', 'buy', 'again', 'but', 'not', 'worst']","['wouldnt', 'buy', 'worst']","['wouldnt', 'buy', 'worst']",wouldnt buy worst
170,Loved it!! but delivery was late,positive,loved it!! but delivery was late,loved it but delivery was late,loved it but delivery was late,loved it but delivery was late,"['loved', 'it', 'but', 'delivery', 'was', 'late']","['loved', 'delivery', 'late']","['loved', 'delivery', 'late']",loved delivery late
171,Poor quality but acceptable,negative,poor quality but acceptable,poor quality but acceptable,poor quality but acceptable,poor quality but acceptable,"['poor', 'quality', 'but', 'acceptable']","['poor', 'quality', 'acceptable']","['poor', 'quality', 'acceptable']",poor quality acceptable
172,Hated the delivery but liked the box,negative,hated the delivery but liked the box,hated the delivery but liked the box,hated the delivery but liked the box,hated the delivery but liked the box,"['hated', 'the', 'delivery', 'but', 'liked', 'the', 'box']","['hated', 'delivery', 'liked', 'box']","['hated', 'delivery', 'liked', 'box']",hated delivery liked box
173,Broken but refunded fast,negative,broken but refunded fast,broken but refunded fast,broken but refunded fast,broken but refunded fast,"['broken', 'but', 'refunded', 'fast']","['broken', 'refunded', 'fast']","['broken', 'refunded', 'fast']",broken refunded fast
174,"Poor response, okay handling",negative,"poor response, okay handling",poor response okay handling,poor response okay handling,poor response okay handling,"['poor', 'response', 'okay', 'handling']","['poor', 'response', 'okay', 'handling']","['poor', 'response', 'okay', 'handling']",poor response okay handling
175,Will recommend despite small issues,positive,will recommend despite small issues,will recommend despite small issues,will recommend despite small issues,will recommend despite small issues,"['will', 'recommend', 'despite', 'small', 'issues']","['recommend', 'despite', 'small', 'issues']","['recommend', 'despite', 'small', 'issue']",recommend despite small issue
176,Neither too bad nor too good,neutral,neither too bad nor too good,neither too bad nor too good,neither too bad nor too good,neither too bad nor too good,"['neither', 'too', 'bad', 'nor', 'too', 'good']","['neither', 'bad', 'good']","['neither', 'bad', 'good']",neither bad good
177,Hated the delivery but liked the box,negative,hated the delivery but liked the box,hated the delivery but liked the box,hated the delivery but liked the box,hated the delivery but liked the box,"['hated', 'the', 'delivery', 'but', 'liked', 'the', 'box']","['hated', 'delivery', 'liked', 'box']","['hated', 'delivery', 'liked', 'box']",hated delivery liked box
178,Broken but refunded fast,negative,broken but refunded fast,broken but refunded fast,broken but refunded fast,broken but refunded fast,"['broken', 'but', 'refunded', 'fast']","['broken', 'refunded', 'fast']","['broken', 'refunded', 'fast']",broken refunded fast
179,Almost perfect,positive,almost perfect,almost perfect,almost perfect,almost perfect,"['almost', 'perfect']","['almost', 'perfect']","['almost', 'perfect']",almost perfect
180,Bad but manageable,negative,bad but manageable,bad but manageable,bad but manageable,bad but manageable,"['bad', 'but', 'manageable']","['bad', 'manageable']","['bad', 'manageable']",bad manageable
181,Happy with product though packaging was messy,positive,happy with product though packaging was messy,happy with product though packaging was messy,happy with product though packaging was messy,happy with product though packaging was messy,"['happy', 'with', 'product', 'though', 'packaging', 'was', 'messy']","['happy', 'product', 'though', 'packaging', 'messy']","['happy', 'product', 'though', 'packaging', 'messy']",happy product though packaging messy
182,Not good but not worst,negative,not good but not worst,not good but not worst,not good but not worst,not good but not worst,"['not', 'good', 'but', 'not', 'worst']","['good', 'worst']","['good', 'worst']",good worst
183,Will recommend despite small issues,positive,will recommend despite small issues,will recommend despite small issues,will recommend despite small issues,will recommend despite small issues,"['will', 'recommend', 'despite', 'small', 'issues']","['recommend', 'despite', 'small', 'issues']","['recommend', 'despite', 'small', 'issue']",recommend despite small issue
184,Broken but refunded fast,negative,broken but refunded fast,broken but refunded fast,broken but refunded fast,broken but refunded fast,"['broken', 'but', 'refunded', 'fast']","['broken', 'refunded', 'fast']","['broken', 'refunded', 'fast']",broken refunded fast
185,Loved it!! but delivery was late,positive,loved it!! but delivery was late,loved it but delivery was late,loved it but delivery was late,loved it but delivery was late,"['loved', 'it', 'but', 'delivery', 'was', 'late']","['loved', 'delivery', 'late']","['loved', 'delivery', 'late']",loved delivery late
186,Neither too bad nor too good,neutral,neither too bad nor too good,neither too bad nor too good,neither too bad nor too good,neither too bad nor too good,"['neither', 'too', 'bad', 'nor', 'too', 'good']","['neither', 'bad', 'good']","['neither', 'bad', 'good']",neither bad good
187,Dissatisfied somewhat,negative,dissatisfied somewhat,dissatisfied somewhat,dissatisfied somewhat,dissatisfied somewhat,"['dissatisfied', 'somewhat']","['dissatisfied', 'somewhat']","['dissatisfied', 'somewhat']",dissatisfied somewhat
188,Hated the delivery but liked the box,negative,hated the delivery but liked the box,hated the delivery but liked the box,hated the delivery but liked the box,hated the delivery but liked the box,"['hated', 'the', 'delivery', 'but', 'liked', 'the', 'box']","['hated', 'delivery', 'liked', 'box']","['hated', 'delivery', 'liked', 'box']",hated delivery liked box
189,Not much to say,neutral,not much to say,not much to say,not much to say,not much to say,"['not', 'much', 'to', 'say']","['much', 'say']","['much', 'say']",much say
190,"Good one, not the best",positive,"good one, not the best",good one not the best,good one not the best,good one not the best,"['good', 'one', 'not', 'the', 'best']","['good', 'one', 'best']","['good', 'one', 'best']",good one best
191,Dissatisfied somewhat,negative,dissatisfied somewhat,dissatisfied somewhat,dissatisfied somewhat,dissatisfied somewhat,"['dissatisfied', 'somewhat']","['dissatisfied', 'somewhat']","['dissatisfied', 'somewhat']",dissatisfied somewhat
192,Poor quality but acceptable,negative,poor quality but acceptable,poor quality but acceptable,poor quality but acceptable,poor quality but acceptable,"['poor', 'quality', 'but', 'acceptable']","['poor', 'quality', 'acceptable']","['poor', 'quality', 'acceptable']",poor quality acceptable
193,Moderate experience,neutral,moderate experience,moderate experience,moderate experience,moderate experience,"['moderate', 'experience']","['moderate', 'experience']","['moderate', 'experience']",moderate experience
194,Hated the delivery but liked the box,negative,hated the delivery but liked the box,hated the delivery but liked the box,hated the delivery but liked the box,hated the delivery but liked the box,"['hated', 'the', 'delivery', 'but', 'liked', 'the', 'box']","['hated', 'delivery', 'liked', 'box']","['hated', 'delivery', 'liked', 'box']",hated delivery liked box
195,Pretty nice overall,positive,pretty nice overall,pretty nice overall,pretty nice overall,pretty nice overall,"['pretty', 'nice', 'overall']","['pretty', 'nice', 'overall']","['pretty', 'nice', 'overall']",pretty nice overall
196,Not much to say,neutral,not much to say,not much to say,not much to say,not much to say,"['not', 'much', 'to', 'say']","['much', 'say']","['much', 'say']",much say
197,Almost perfect,positive,almost perfect,almost perfect,almost perfect,almost perfect,"['almost', 'perfect']","['almost', 'perfect']","['almost', 'perfect']",almost perfect
198,"Poor response, okay handling",negative,"poor response, okay handling",poor response okay handling,poor response okay handling,poor response okay handling,"['poor', 'response', 'okay', 'handling']","['poor', 'response', 'okay', 'handling']","['poor', 'response', 'okay', 'handling']",poor response okay handling
199,Bad but manageable,negative,bad but manageable,bad but manageable,bad but manageable,bad but manageable,"['bad', 'but', 'manageable']","['bad', 'manageable']","['bad', 'manageable']",bad manageable
